Instrument Name,SDS3034X HD
Serial Number,SDS3HA0X900267
Software Version,6.8.14.1.0.4.2
Awg Type,LAN
Awg IP Address,192.168.157.206
DUT Input Source,CH1
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,3V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,10Hz
Stop Frequency,120000000Hz
Sweep Line,501
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-238dB,-78dB
Phase Unit,Degree
Phase Axis Range,-360Deg,0Deg
Bode Data
Number of Points,143
Frequency(Hz),CH3 Amplitude(dB),CH3 Phase(Deg)
10,-124.480171,61.8083607
11.2201845,-120.734087,-141.660816
12.5892541,-113.519404,-161.238769
14.1253754,-110.915202,154.54615
15.8489319,-123.190094,-130.719437
17.7827941,-119.341174,94.6969825
19.9526231,-115.429782,95.7094377
22.3872114,-132.238218,38.2793428
25.1188643,-121.517032,47.5403857
28.1838293,-114.307796,80.4351883
31.6227766,-122.177662,152.798241
35.4813389,-121.881229,82.2207127
39.8107171,-113.13865,-87.8954318
44.6683592,-113.989149,-9.74962691
50.1187234,-99.6510456,-4.3781096
56.2341325,-110.974563,-14.7801354
63.0957344,-127.197626,22.2678587
70.7945784,-124.035941,148.307551
79.4328235,-111.742456,143.806654
89.1250938,-121.296865,144.914176
100,-118.456832,-88.9169695
112.201845,-120.531158,-71.8628159
125.892541,-155.804425,-21.0420252
141.253754,-122.854145,-148.05846
158.489319,-116.702297,140.173806
177.827941,-114.642366,119.568237
199.526231,-113.125496,147.370922
223.872114,-113.939286,-145.800098
251.188643,-100.632403,139.35096
281.838293,-109.964508,161.795864
316.227766,-112.065062,164.687401
354.813389,-109.461053,-160.458762
398.107171,-110.833006,137.54196
446.683592,-113.003798,138.993728
501.187234,-108.20354,140.027572
562.341325,-106.573986,90.5861244
630.957344,-105.694066,128.72907
707.945784,-102.546116,104.656168
794.328235,-101.169053,123.021783
891.250938,-102.035104,121.127052
1000,-100.890722,112.521689
1122.01845,-100.254075,89.7628095
1258.92541,-99.446686,103.602594
1412.53754,-99.1327911,97.1059938
1584.89319,-98.0216347,98.1011632
1778.27941,-94.7867067,97.3401737
1995.26231,-94.8851806,104.420158
2238.72114,-94.4141794,105.989445
2511.88643,-92.0277819,108.312973
2818.38293,-91.2736208,104.929872
3162.27766,-90.3296509,98.1046445
3548.13389,-89.6345119,97.2592007
3981.07171,-88.2852657,96.6177029
4466.83592,-87.6439558,96.2242416
5011.87234,-86.6339421,93.4968378
5623.41325,-85.7342487,92.4681447
6309.57344,-84.9298994,92.3683697
7079.45784,-83.7254496,96.1517881
7943.28235,-82.9266188,92.4970155
8912.50938,-81.5789113,93.6936057
10000,-80.9096165,94.6926662
11220.1845,-79.6931703,95.1303624
12589.2541,-79.0634023,95.1442275
14125.3754,-77.617095,94.4220451
15848.9319,-76.8859482,94.6745683
17782.7941,-75.6831222,94.5473223
19952.6231,-74.6325634,94.7027444
22387.2114,-73.6922505,93.6219316
25118.8643,-72.5080423,94.8151886
28183.8293,-71.6097065,94.6118679
31622.7766,-70.5288419,95.0990837
35481.3389,-69.5382992,95.4205869
39810.7171,-68.4681371,96.028103
44668.3592,-67.3795088,96.2483551
50118.7234,-66.3021637,96.7456884
56234.1325,-65.2027207,97.0302339
63095.7344,-64.0857405,97.1761043
70794.5784,-62.990284,97.4440796
79432.8235,-61.7893852,97.5680481
89125.0938,-60.6501564,97.6812807
100000,-59.4801711,97.5481128
112201.845,-58.3523212,97.4649891
125892.541,-57.1836331,97.1351548
141253.754,-55.994381,96.4994966
158489.319,-54.8233576,95.9570404
177827.941,-53.6547801,95.0892609
199526.231,-52.5052534,94.1734339
223872.114,-51.3754385,92.9384402
251188.643,-50.2510503,91.5645573
281838.293,-49.1404138,90.0472716
316227.766,-48.0596855,88.3667562
354813.389,-46.9942016,86.5939611
398107.171,-45.9452722,84.6978543
446683.592,-44.9609482,82.6464072
501187.234,-43.972018,80.4269706
562341.325,-43.0143694,78.2200503
630957.344,-42.0373584,75.6796062
707945.784,-41.1397349,73.1133389
794328.235,-40.241578,70.4258571
891250.938,-39.4072712,67.5544883
1000000,-38.6143192,64.5329257
1122018.45,-37.9201529,61.3181645
1258925.41,-37.2243871,58.0739453
1412537.54,-36.5909833,54.7802797
1584893.19,-35.9940858,51.386515
1778279.41,-35.5050792,48.0853737
1995262.31,-35.1183537,45.0174728
2238721.14,-34.8597262,43.4038108
2511886.43,-33.8304245,43.8201382
2818382.93,-33.2025649,37.0159882
3162277.66,-33.0113691,32.773661
3548133.89,-32.8176927,29.431927
3981071.71,-32.6355546,26.3400232
4466835.92,-32.5191043,23.3738334
5011872.34,-32.4800811,20.7689729
5623413.25,-32.4629721,18.7592964
6309573.44,-32.4329884,17.1000935
7079457.84,-32.3904673,15.350773
7943282.35,-32.4848297,13.0938845
8912509.38,-32.9382419,12.9866427
10000000,-32.9225722,16.3452878
11220184.5,-32.4141826,17.7603717
12589254.1,-31.9673036,16.0992321
14125375.4,-31.8742231,13.9923282
15848931.9,-31.9891129,12.8716008
17782794.1,-32.1916214,12.9002415
