Instrument Name,SDS3034X HD
Serial Number,SDS3HA0X900267
Software Version,6.8.14.1.0.4.2
Awg Type,LAN
Awg IP Address,192.168.157.206
DUT Input Source,CH1
DUT Output Source1,CH3
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,3V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,10Hz
Stop Frequency,120000000Hz
Sweep Line,501
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-86.5dB,-46.5dB
Phase Unit,Degree
Phase Axis Range,-360Deg,0Deg
Bode Data
Number of Points,143
Frequency(Hz),CH3 Amplitude(dB),CH3 Phase(Deg)
10,-64.7632908,89.3365997
11.2201845,-63.794095,89.2248321
12.5892541,-62.7708542,89.2996652
14.1253754,-61.7875987,88.7631255
15.8489319,-60.7925513,88.7560825
17.7827941,-59.8108699,88.6161034
19.9526231,-58.7759389,88.3331123
22.3872114,-57.7986957,88.088118
25.1188643,-56.8113798,87.8334541
28.1838293,-55.8226555,87.5917063
31.6227766,-54.8228004,87.3135246
35.4813389,-53.8296395,86.9670725
39.8107171,-52.87583,86.615436
44.6683592,-51.8636885,86.2647551
50.1187234,-50.8675125,85.4082473
56.2341325,-49.9244684,85.2721768
63.0957344,-48.9123167,84.8018215
70.7945784,-47.9423597,84.2465932
79.4328235,-46.9330346,83.5785678
89.1250938,-45.9622914,82.8279327
100,-44.9785149,81.9515782
112.201845,-44.018521,81.087264
125.892541,-43.0611238,80.0632222
141.253754,-42.1067492,78.9111914
158.489319,-41.1524282,77.6617582
177.827941,-40.2154049,76.260669
199.526231,-39.2879604,74.6967774
223.872114,-38.3682529,72.9910145
251.188643,-37.4874008,71.1109443
281.838293,-36.5771968,69.0202194
316.227766,-35.7246447,66.7686022
354.813389,-34.9095649,64.3273125
398.107171,-34.0805886,61.723077
446.683592,-33.3291027,58.9453597
501.187234,-32.6266032,56.002461
562.341325,-31.9582082,52.9504683
630.957344,-31.3533838,49.7777149
707.945784,-30.8011046,46.5458266
794.328235,-30.3241624,43.2783813
891.250938,-29.88574,40.0624025
1000,-29.4954209,36.88199
1122.01845,-29.1675382,33.813086
1258.92541,-28.8543268,30.8921353
1412.53754,-28.6215284,28.0868314
1584.89319,-28.4140071,25.4618524
1778.27941,-28.2420327,23.0165018
1995.26231,-28.1039316,20.7721513
2238.72114,-27.9861589,18.6795194
2511.88643,-27.8960127,16.7754499
2818.38293,-27.8161305,15.0498782
3162.27766,-27.7562927,13.4785908
3548.13389,-27.7052039,12.0555574
3981.07171,-27.6617923,10.7693977
4466.83592,-27.6330877,9.62206672
5011.87234,-27.6043264,8.57413555
5623.41325,-27.5914867,7.62822423
6309.57344,-27.5713298,6.77654406
7079.45784,-27.5516381,6.00585118
7943.28235,-27.5396283,5.31987718
8912.50938,-27.5331438,4.68508409
10000,-27.5216573,4.114376
11220.1845,-27.5184312,3.58741931
12589.2541,-27.5088406,3.10755582
14125.3754,-27.5080877,2.66887545
15848.9319,-27.5031833,2.27553112
17782.7941,-27.5045609,1.89378313
19952.6231,-27.4976587,1.54537288
22387.2114,-27.5009987,1.22839078
25118.8643,-27.4999996,0.92509379
28183.8293,-27.4993198,0.640621188
31622.7766,-27.4991755,0.364613881
35481.3389,-27.5033241,0.0999700256
39810.7171,-27.4962623,-0.177542438
44668.3592,-27.4987864,-0.457832015
50118.7234,-27.4974203,-0.747857227
56234.1325,-27.494803,-1.0578772
63095.7344,-27.4962524,-1.38455945
