Freq.	V(out)/V(in)
1.00000000000000e+00	(-1.68412752754945e+02dB,9.35023056794865e+01°)
1.12201845430196e+00	(-1.67404719060863e+02dB,9.39258515588594e+01°)
1.25892541179417e+00	(-1.66394630921475e+02dB,9.43995233676869e+01°)
1.41253754462275e+00	(-1.65381964631371e+02dB,9.49288059558003e+01°)
1.58489319246111e+00	(-1.64366097151966e+02dB,9.55196182028369e+01°)
1.77827941003892e+00	(-1.63346216350481e+02dB,9.61782289983305e+01°)
1.99526231496888e+00	(-1.62321337491094e+02dB,9.69112085031716e+01°)
2.23872113856834e+00	(-1.61290266693324e+02dB,9.77252704143733e+01°)
2.51188643150958e+00	(-1.60251536817856e+02dB,9.86270688482050e+01°)
2.81838293126445e+00	(-1.59203369549396e+02dB,9.96228431005383e+01°)
3.16227766016838e+00	(-1.58143649603031e+02dB,1.00718019211303e+02°)
3.54813389233575e+00	(-1.57069875526498e+02dB,1.01916579946174e+02°)
3.98107170553497e+00	(-1.55979157761375e+02dB,1.03220362593339e+02°)
4.46683592150963e+00	(-1.54868197618892e+02dB,1.04628021831860e+02°)
5.01187233627272e+00	(-1.53733357753397e+02dB,1.06133972131514e+02°)
5.62341325190348e+00	(-1.52570787590492e+02dB,1.07727333068966e+02°)
6.30957344480192e+00	(-1.51376534689399e+02dB,1.09390511176450e+02°)
7.07945784384137e+00	(-1.50146863924716e+02dB,1.11098546301458e+02°)
7.94328234724280e+00	(-1.48878552191510e+02dB,1.12818474484959e+02°)
8.91250938133744e+00	(-1.47569292615062e+02dB,1.14509676108485e+02°)
9.99999999999998e+00	(-1.46218084145524e+02dB,1.16125001849352e+02°)
1.12201845430196e+01	(-1.44825588492567e+02dB,1.17612925014217e+02°)
1.25892541179416e+01	(-1.43394382391139e+02dB,1.18920651675546e+02°)
1.41253754462275e+01	(-1.41929043215076e+02dB,1.19997665139424e+02°)
1.58489319246111e+01	(-1.40436048102070e+02dB,1.20799538196340e+02°)
1.77827941003892e+01	(-1.38923506327592e+02dB,1.21291494472197e+02°)
1.99526231496888e+01	(-1.37400697962069e+02dB,1.21451124793425e+02°)
2.23872113856833e+01	(-1.35877542070782e+02dB,1.21270198963866e+02°)
2.51188643150957e+01	(-1.34363969327631e+02dB,1.20755254283623e+02°)
2.81838293126445e+01	(-1.32869334595257e+02dB,1.19927172594015e+02°)
3.16227766016837e+01	(-1.31401845323410e+02dB,1.18819295830104e+02°)
3.54813389233575e+01	(-1.29968110145250e+02dB,1.17474804546315e+02°)
3.98107170553496e+01	(-1.28572855041657e+02dB,1.15943206976836e+02°)
4.46683592150962e+01	(-1.27218801922954e+02dB,1.14276567172266e+02°)
5.01187233627271e+01	(-1.25906751867329e+02dB,1.12525822002983e+02°)
5.62341325190347e+01	(-1.24635822126679e+02dB,1.10737677921632e+02°)
6.30957344480191e+01	(-1.23403796940080e+02dB,1.08952374419664e+02°)
7.07945784384136e+01	(-1.22207526100330e+02dB,1.07202418395745e+02°)
7.94328234724279e+01	(-1.21043313548200e+02dB,1.05512284188805e+02°)
8.91250938133743e+01	(-1.19907256181552e+02dB,1.03898791549462e+02°)
9.99999999999997e+01	(-1.18795504993202e+02dB,1.02372034173256e+02°)
1.12201845430196e+02	(-1.17704447256009e+02dB,1.00936429794112e+02°)
1.25892541179416e+02	(-1.16630819441071e+02dB,9.95919536048811e+01°)
1.41253754462275e+02	(-1.15571761154823e+02dB,9.83351944360488e+01°)
1.58489319246111e+02	(-1.14524829088053e+02dB,9.71602945942024e+01°)
1.77827941003892e+02	(-1.13487983305926e+02dB,9.60597085960392e+01°)
1.99526231496887e+02	(-1.12459559737047e+02dB,9.50247888436424e+01°)
2.23872113856833e+02	(-1.11438236070486e+02dB,9.40462193838438e+01°)
2.51188643150957e+02	(-1.10422997658426e+02dB,9.31143242356080e+01°)
2.81838293126444e+02	(-1.09413106745954e+02dB,9.22192787108072e+01°)
3.16227766016837e+02	(-1.08408077890559e+02dB,9.13512498792790e+01°)
3.54813389233574e+02	(-1.07407660543659e+02dB,9.05004901907463e+01°)
3.98107170553496e+02	(-1.06411828809410e+02dB,8.96574059645880e+01°)
4.46683592150961e+02	(-1.05420779756733e+02dB,8.88126203138114e+01°)
5.01187233627270e+02	(-1.04434938591546e+02dB,8.79570471045161e+01°)
5.62341325190347e+02	(-1.03454971238761e+02dB,8.70820030602378e+01°)
6.30957344480191e+02	(-1.02481802566891e+02dB,8.61793704532854e+01°)
7.07945784384135e+02	(-1.01516638408277e+02dB,8.52418353042570e+01°)
7.94328234724278e+02	(-1.00560988334847e+02dB,8.42632313259564e+01°)
8.91250938133742e+02	(-9.96166841711664e+01dB,8.32390050447979e+01°)
9.99999999999995e+02	(-9.86858870628334e+01dB,8.21668287312560e+01°)
1.12201845430196e+03	(-9.77710731543549e+01dB,8.10473624494919e+01°)
1.25892541179416e+03	(-9.68749851279490e+01dB,7.98851501167425e+01°)
1.41253754462275e+03	(-9.60005352000781e+01dB,7.86895989871608e+01°)
1.58489319246111e+03	(-9.51506453174258e+01dB,7.74759310250780e+01°)
1.77827941003891e+03	(-9.43280152224115e+01dB,7.62659425882614e+01°)
1.99526231496887e+03	(-9.35348191590357e+01dB,7.50883389020037e+01°)
2.23872113856833e+03	(-9.27723492958424e+01dB,7.39783943754529e+01°)
2.51188643150957e+03	(-9.20406448631050e+01dB,7.29767106164981e+01°)
2.81838293126444e+03	(-9.13381664163236e+01dB,7.21269624950931e+01°)
3.16227766016836e+03	(-9.06615857577922e+01dB,7.14727155259663e+01°)
3.54813389233573e+03	(-9.00057566342218e+01dB,7.10536339455875e+01°)
3.98107170553495e+03	(-8.93639062113448e+01dB,7.09016115456250e+01°)
4.46683592150961e+03	(-8.87280461615423e+01dB,7.10374598334602e+01°)
5.01187233627269e+03	(-8.80895563083025e+01dB,7.14687530763475e+01°)
5.62341325190346e+03	(-8.74398549777753e+01dB,7.21892321399691e+01°)
6.30957344480189e+03	(-8.67710503054743e+01dB,7.31798776304675e+01°)
7.07945784384134e+03	(-8.60764703499774e+01dB,7.44114346918525e+01°)
7.94328234724277e+03	(-8.53509966787498e+01dB,7.58479025171624e+01°)
8.91250938133740e+03	(-8.45911684007917e+01dB,7.74503497160148e+01°)
9.99999999999994e+03	(-8.37950699453602e+01dB,7.91804194971686e+01°)
1.12201845430196e+04	(-8.29620536248867e+01dB,8.10030351478656e+01°)
1.25892541179416e+04	(-8.20923681934191e+01dB,8.28880364994384e+01°)
1.41253754462275e+04	(-8.11867659348958e+01dB,8.48107095484650e+01°)
1.58489319246110e+04	(-8.02461479445857e+01dB,8.67513485972632e+01°)
1.77827941003891e+04	(-7.92712884244915e+01dB,8.86940796116842e+01°)
1.99526231496887e+04	(-7.82626611006053e+01dB,9.06252095101605e+01°)
2.23872113856832e+04	(-7.72203779309364e+01dB,9.25313510515279e+01°)
2.51188643150956e+04	(-7.61442419691690e+01dB,9.43975614373718e+01°)
2.81838293126443e+04	(-7.50339099070971e+01dB,9.62057280641280e+01°)
3.16227766016836e+04	(-7.38891517644577e+01dB,9.79334443716309e+01°)
3.54813389233573e+04	(-7.27101824642526e+01dB,9.95536241940484e+01°)
3.98107170553494e+04	(-7.14980229309615e+01dB,1.01035065896078e+02°)
4.46683592150960e+04	(-7.02548299539754e+01dB,1.02344078085959e+02°)
5.01187233627269e+04	(-6.89841225749067e+01dB,1.03447092484122e+02°)
5.62341325190345e+04	(-6.76908361420049e+01dB,1.04313952776279e+02°)
6.30957344480188e+04	(-6.63811594859283e+01dB,1.04921339247262e+02°)
7.07945784384133e+04	(-6.50621535759558e+01dB,1.05255658806162e+02°)
7.94328234724275e+04	(-6.37412013559412e+01dB,1.05314763870479e+02°)
8.91250938133739e+04	(-6.24253821630253e+01dB,1.05108078808145e+02°)
9.99999999999992e+04	(-6.11208858331514e+01dB,1.04655055240480e+02°)
1.12201845430195e+05	(-5.98325734345408e+01dB,1.03982249108307e+02°)
1.25892541179416e+05	(-5.85637564294993e+01dB,1.03119600727437e+02°)
1.41253754462274e+05	(-5.73162153905772e+01dB,1.02096626223663e+02°)
1.58489319246110e+05	(-5.60904288326615e+01dB,1.00939175182575e+02°)
1.77827941003891e+05	(-5.48859455487688e+01dB,9.96672152764529e+01°)
1.99526231496886e+05	(-5.37018166532267e+01dB,9.82938431448247e+01°)
2.23872113856832e+05	(-5.25370059233561e+01dB,9.68254630349317e+01°)
2.51188643150956e+05	(-5.13907145231152e+01dB,9.52628688112242e+01°)
2.81838293126443e+05	(-5.02625834309064e+01dB,9.36028370766342e+01°)
3.16227766016835e+05	(-4.91527685183835e+01dB,9.18398043138973e+01°)
3.54813389233572e+05	(-4.80619129454287e+01dB,8.99672651966981e+01°)
3.98107170553494e+05	(-4.69910620454179e+01dB,8.79786785240174e+01°)
4.46683592150959e+05	(-4.59415713129554e+01dB,8.58678581653921e+01°)
5.01187233627268e+05	(-4.49150476207884e+01dB,8.36289962725800e+01°)
5.62341325190344e+05	(-4.39133426741015e+01dB,8.12565617594021e+01°)
6.30957344480187e+05	(-4.29385946466884e+01dB,7.87453209496809e+01°)
7.07945784384131e+05	(-4.19932963655979e+01dB,7.60906594452720e+01°)
7.94328234724274e+05	(-4.10803594853237e+01dB,7.32892828955019e+01°)
8.91250938133737e+05	(-4.02031430274738e+01dB,7.03402719851265e+01°)
9.99999999999990e+05	(-3.93654190738891e+01dB,6.72463790671974e+01°)
1.12201845430195e+06	(-3.85712566002994e+01dB,6.40153827392869e+01°)
1.25892541179415e+06	(-3.78248161906548e+01dB,6.06612630521102e+01°)
1.41253754462274e+06	(-3.71300640295569e+01dB,5.72049330095737e+01°)
1.58489319246110e+06	(-3.64904323012138e+01dB,5.36742803038329e+01°)
1.77827941003891e+06	(-3.59084714170720e+01dB,5.01033558514624e+01°)
1.99526231496886e+06	(-3.53855512086608e+01dB,4.65306951805793e+01°)
2.23872113856832e+06	(-3.49216669173862e+01dB,4.29969469229727e+01°)
2.51188643150955e+06	(-3.45153886160379e+01dB,3.95421523536674e+01°)
2.81838293126442e+06	(-3.41639632353022e+01dB,3.62031077800357e+01°)
3.16227766016835e+06	(-3.38635461556716e+01dB,3.30112118583596e+01°)
3.54813389233572e+06	(-3.36095153049908e+01dB,2.99910656187203e+01°)
