Freq.	V(out)/V(in)
Step Information: R=1K  (Step: 3/3)
1.00000000000000e+00	(-8.51288539069573e+01dB,8.99250619081392e+01°)
1.12201845430196e+00	(-8.41288558301233e+01dB,8.99159180904119e+01°)
1.25892541179417e+00	(-8.31288582512445e+01dB,8.99056585632983e+01°)
1.41253754462275e+00	(-8.21288612992537e+01dB,8.98941471917761e+01°)
1.58489319246111e+00	(-8.11288651364670e+01dB,8.98812312307084e+01°)
1.77827941003892e+00	(-8.01288699672271e+01dB,8.98667392984643e+01°)
1.99526231496888e+00	(-7.91288760487864e+01dB,8.98504791034289e+01°)
2.23872113856834e+00	(-7.81288837050040e+01dB,8.98322348933169e+01°)
2.51188643150958e+00	(-7.71288933435912e+01dB,8.98117645935524e+01°)
2.81838293126445e+00	(-7.61289054778239e+01dB,8.97887965968920e+01°)
3.16227766016838e+00	(-7.51289207538686e+01dB,8.97630261619172e+01°)
3.54813389233575e+00	(-7.41289399851939e+01dB,8.97341113729080e+01°)
3.98107170553497e+00	(-7.31289641958767e+01dB,8.97016686079236e+01°)
4.46683592150963e+00	(-7.21289946751287e+01dB,8.96652674555698e+01°)
5.01187233627272e+00	(-7.11290330459293e+01dB,8.96244250138685e+01°)
5.62341325190348e+00	(-7.01290813514230e+01dB,8.95785994967972e+01°)
6.30957344480192e+00	(-6.91291421636727e+01dB,8.95271830654038e+01°)
7.07945784384137e+00	(-6.81292187205482e+01dB,8.94694937907920e+01°)
7.94328234724280e+00	(-6.71293150980257e+01dB,8.94047666458016e+01°)
8.91250938133744e+00	(-6.61294364270398e+01dB,8.93321434107004e+01°)
9.99999999999998e+00	(-6.51295891664000e+01dB,8.92506613658335e+01°)
1.12201845430196e+01	(-6.41297814462232e+01dB,8.91592406308783e+01°)
1.25892541179416e+01	(-6.31300235000756e+01dB,8.90566699964236e+01°)
1.41253754462275e+01	(-6.21303282086389e+01dB,8.89415910792212e+01°)
1.58489319246111e+01	(-6.11307117835962e+01dB,8.88124806181117e+01°)
1.77827941003892e+01	(-6.01311946276911e+01dB,8.86676307142698e+01°)
1.99526231496888e+01	(-5.91318024160706e+01dB,8.85051268078285e+01°)
2.23872113856833e+01	(-5.81325674553800e+01dB,8.83228231752693e+01°)
2.51188643150957e+01	(-5.71335303912198e+01dB,8.81183157302754e+01°)
2.81838293126445e+01	(-5.61347423521099e+01dB,8.78889119191338e+01°)
3.16227766016837e+01	(-5.51362676397175e+01dB,8.76315975249327e+01°)
3.54813389233575e+01	(-5.41381871016452e+01dB,8.73430002406039e+01°)
3.98107170553496e+01	(-5.31406023553878e+01dB,8.70193499492848e+01°)
4.46683592150962e+01	(-5.21436410710278e+01dB,8.66564357761476e+01°)
5.01187233627271e+01	(-5.11474635666279e+01dB,8.62495601688332e+01°)
5.62341325190347e+01	(-5.01522710244964e+01dB,8.57934905507496e+01°)
6.30957344480191e+01	(-4.91583156982454e+01dB,8.52824095099321e+01°)
7.07945784384136e+01	(-4.81659135482687e+01dB,8.47098650836413e+01°)
7.94328234724279e+01	(-4.71754598130454e+01dB,8.40687235382821e+01°)
8.91250938133743e+01	(-4.61874480879887e+01dB,8.33511282025580e+01°)
9.99999999999997e+01	(-4.52024935290879e+01dB,8.25484694812569e+01°)
1.12201845430196e+02	(-4.42213608031845e+01dB,8.16513732564480e+01°)
1.25892541179416e+02	(-4.32449973357351e+01dB,8.06497175634448e+01°)
1.41253754462275e+02	(-4.22745722084088e+01dB,7.95326907590351e+01°)
1.58489319246111e+02	(-4.13115206593087e+01dB,7.82889083250711e+01°)
1.77827941003892e+02	(-4.03575934407366e+01dB,7.69066097135206e+01°)
